Index,Title,Genre,Tags,Languages,Type,Hidden Gem Score,Runtime,Director,Writer,Actors,View Rating,IMDb Score,Rotten Tomatoes Score,Metacritic Score,Awards Received,Awards Nominated For,Boxoffice,Release Date,Netflix Release Date,Production House,Netflix Link,IMDb Link,Summary,IMDb Votes,Image,Poster,TMDb Trailer,Trailer Site
6926,The Fate of the Furious,"Action, Adventure, Crime, Thriller","Crime Action & Adventure,Crime Movies,Action Thrillers,Action & Adventure,Blockbuster Action & Adventure,Crime Action,Action","English, Russian, Spanish",Movie,3.2,3,F. Gary Gray,"Chris Morgan, Gary Scott Thompson","Jason Statham, Dwayne Johnson, Michelle Rodriguez, Vin Diesel",PG-13,6.7,67,56,2,12,"226,008,385.00",4/14/2017,10/25/2018,"Original Film, One Race Films",https://www.netflix.com/watch/80150243,https://www.imdb.com/title/tt4630562,"A ruthless cyberterrorist forces Dom to turn against Letty and the crew, endangering everything theyve built. But they wont let him go so easily.",205541,https://occ-0-114-116.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABX3mP3acDs1Ij9v5Ws7ZMnvQcoFHWGIUhhhaXLljIcxFA6nN62siOhqJs4bywp3l7hj-DSYnloVOyqNVFZ9UHj9rRA.jpg?r=a58,https://m.media-amazon.com/images/M/MV5BMjMxODI2NDM5Nl5BMl5BanBnXkFtZTgwNjgzOTk1MTI@._V1_SX300.jpg,https://www.youtube.com/watch?v=JwMKRevYa_M,YouTube
6927,Get Out,"Horror, Mystery, Thriller","Horror Movies,Award-winning Movies,Thrillers,Independent Movies,Independent Thrillers,Oscar-winning Movies,Spoofs & Satires",English,Movie,4.3,0,Jordan Peele,Jordan Peele,"Catherine Keener, Allison Williams, Bradley Whitford, Daniel Kaluuya",R,7.7,98,85,151,199,"176,040,665.00",2/24/2017,10/25/2018,"Universal Pictures, QC Entertainment, Blumhouse Productions",https://www.netflix.com/watch/80149258,https://www.imdb.com/title/tt5052448,"Chris, who is black, is anxious about meeting his white girlfriends parents at their country estate. They seem nice but still, they creep him out.",495103,https://occ-0-114-116.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABQS1QxVVXePEWEUt46T7hkBoQjwid5RZeeg5l9ZptguxphVGYR8Lulbi7lO1oyY4G8OvcwKT5m7AvmMohEXQmFQqqQ.jpg?r=2c6,https://m.media-amazon.com/images/M/MV5BMjUxMDQwNjcyNl5BMl5BanBnXkFtZTgwNzcwMzc0MTI@._V1_SX300.jpg,https://www.youtube.com/watch?v=sRfnevzM9kQ,YouTube
6935,The Cured,"Drama, Horror, Sci-Fi","Horror Movies,Independent Movies,Zombie Horror Movies,Irish Movies,Social Issue Dramas",English,Movie,4.1,0,David Freyne,David Freyne,"Tom Vaughan-Lawlor, Sam Keeley, Stuart Graham, Elliot Page",R,5.5,70,57,,2,"26,630.00",2/23/2018,10/21/2018,Bac Films,https://www.netflix.com/watch/80209836,https://www.imdb.com/title/tt3463106,"The zombie apocalypse is thwarted by a cure for the virus. But now that the antidote is found, who will fix a broken society?",7814,https://occ-0-753-1360.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABe5bH3sOe8hMUDkahp0Qu9K0RQ7q4iNoGwqBCeuMhWnEEkVH0F0_NVJhqZbXqLUw4NQqNEWgINLGQmUL39JC0DkyjQ.jpg?r=4fa,https://m.media-amazon.com/images/M/MV5BMzA2ZDIwM2ItYzYyOS00NGFkLWFhZmEtYTFiOTZmZWEzYWZkXkEyXkFqcGdeQXVyNjI0NTQ2Nw@@._V1_SX300.jpg,https://www.youtube.com/watch?v=fSutgzDY_I4,YouTube
6937,Looking Glass,"Mystery, Thriller","Psychological Thrillers,Crime Thrillers,Crime Movies,Steamy Thrillers,Mysteries,Thrillers",English,Movie,3.8,0,Tim Hunter,Jerry Rapp,"Nicolas Cage, Marc Blucas, Ernie Lively, Robin Tunney",R,4.6,21,33,,,,2/16/2018,10/20/2018,Highland Film Group,https://www.netflix.com/watch/80239631,https://www.imdb.com/title/tt6083648,"After taking over a remote desert motel, a grieving couple gets dangerously entangled in the property’s secret sinister history.",5746,https://occ-0-2773-2774.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABWLHicIot_p5nBUgZRR2FBCLBh-Z8RxjQs9EGh7Tb_AKA6dLor07t7kIqHaD9Q219b5jSR5l_xFCadHknDzOT88WRg.jpg?r=0ef,https://m.media-amazon.com/images/M/MV5BMTYxMzg1OTI3Nl5BMl5BanBnXkFtZTgwOTQ4Njk2NDM@._V1_SX300.jpg,https://www.youtube.com/watch?v=Y9jPUvijVa4,YouTube
6941,Terminal,"Crime, Drama, Thriller","Crime Thrillers,British Movies,Thrillers,Film Noir",English,Movie,1.7,0,Vaughn Stein,Vaughn Stein,"Margot Robbie, Mike Myers, Simon Pegg, Dexter Fletcher",Not Rated,5.4,21,27,,1,,5/11/2018,10/19/2018,"Highland Film Group, Beagle Pug Films, Subotica Entertainment",https://www.netflix.com/watch/80171455,https://www.imdb.com/title/tt4463816,"When a mysterious man hires two assassins for a dangerous job, a secretive waitress at a train station diner gets involved in the deal.",19396,https://occ-0-114-116.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABf4QlqIZP5By7g571cHpxHT0zFBup4rZSWmnr1uoLGWweATUkblHXF1-D_m4OZczZBz7N3X_fB4u1YfiCcSevwxs4Q.jpg?r=52c,https://m.media-amazon.com/images/M/MV5BYmEzOGVmNWQtZDBiMC00OTk4LTg3OWQtMzc2MzgxNjlkY2JjXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg,https://www.youtube.com/watch?v=P1LU_M4qL9w,YouTube
6948,The Night Comes for Us,"Action, Thriller","Crime Action & Adventure,Gangster Movies,Action Thrillers,Action & Adventure,Martial Arts Movies,Crime Movies","Indonesian, English, Mandarin, French",Movie,3.8,3,Timo Tjahjanto,Timo Tjahjanto,"Hannah Al Rashid, Joe Taslim, Julie Estelle, Iko Uwais",TV-MA,7,91,69,,2,,10/19/2018,10/19/2018,,https://www.netflix.com/watch/80148162,https://www.imdb.com/title/tt6116856,"After sparing a girls life during a massacre, an elite Triad assassin is targeted by an onslaught of murderous gangsters.",21354,https://occ-0-2851-38.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABQ4_Uls9bCALx9Yx49DlyUHlUvdr3DpVE5Us466MajuZowUZJ7fYNGbZGq-kBZHUWKJ2scxs3-trWbXUIKjOShk1kHtRcMzn5YiXvfqIXbecTBhJfQIKKbvmHIE.jpg?r=3f6,https://m.media-amazon.com/images/M/MV5BMGE4NTdiYjktMDUxNy00ODlhLWFkYWQtNWYyMjVlYmI2MjA4XkEyXkFqcGdeQXVyNzMzMTgzODg@._V1_SX300.jpg,https://www.youtube.com/watch?v=HfSisHrUTLM,YouTube
6961,Father Figures,"Comedy, Drama","Comedies,Late Night Comedies","English, Hawaiian",Movie,1.6,0,Lawrence Sher,Justin Malen,"Ed Helms, Robert Jon Mello, Zachary Haven, Retta",R,5.5,17,22,,1,"17,501,244.00",12/22/2017,10/17/2018,"Alcon Entertainment, DMG Entertainment, Montecito Picture Company",https://www.netflix.com/watch/80108180,https://www.imdb.com/title/tt1966359,"After learning their supposedly dead father is still alive, fraternal twins Peter and Kyle go on a road trip to find him, uncovering other truths.",18399,https://occ-0-2773-2774.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABeZOwtSXFKZIv6TtddvIBDwfjhAnfABCdteUH033gXm8I_7ZFJ_DkSrxO2jFDnxxM130O5cMVNSsk1CmS1J0MHKwMw.jpg?r=c7d,https://m.media-amazon.com/images/M/MV5BMjA3MDQ4MDI1M15BMl5BanBnXkFtZTgwMDYxMjcxNDM@._V1_SX300.jpg,https://www.youtube.com/watch?v=VNZEtLfShMQ,YouTube
6977,The Kindergarten Teacher,Drama,"Independent Movies,Dramas,Independent Dramas",English,Movie,3.9,0,Sara Colangelo,"Nadav Lapid, Sara Colangelo","Gael García Bernal, Libya Pugh, Maggie Gyllenhaal, Ato Blankson-Wood",R,6.7,90,75,2,12,,10/12/2018,10/12/2018,Pie Films,https://www.netflix.com/watch/80240972,https://www.imdb.com/title/tt6952960,A devoted teacher takes interest in a young students creative potential after hearing his poetry. But she soon crosses the line into obsession.,13093,https://occ-0-768-769.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABUJQV4atq2dFab_W6do91oPq1mho3z9rT4cIy6rKosPhnknwVRrvisQWl4syuknBfcUJzJFSXuSZHu7HoGHn5FlaVA.jpg?r=441,https://m.media-amazon.com/images/M/MV5BZDIxNjIwNjktZTQzNS00ODI1LTkyZGItNDhkYjJlM2FhODcyXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg,https://www.youtube.com/watch?v=8n1NP6w5lXs,YouTube
6979,Apostle,"Drama, Fantasy, Horror, Mystery, Thriller","Thrillers,Horror Movies,European Thrillers,European Movies,British Films","English, Chinese",Movie,3.4,3,Gareth Evans,Gareth Evans,"Paul Higgins, Dan Stevens, Richard Elfyn, Bill Milner",TV-MA,6.3,78,62,1,8,,10/12/2018,10/12/2018,"Severn Screen Limited, XYZ Films",https://www.netflix.com/watch/80158148,https://www.imdb.com/title/tt6217306,"In 1905, a drifter on a dangerous mission to rescue his kidnapped sister tangles with a sinister religious cult on an isolated island.",43947,https://occ-0-2717-360.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABeEwuF9VO3hbDNntQ2h4uTxOoJLkGPgjqmN2l4K6wEjA1jEDLcthnJEOY5F1O93-HfOofp0SDmdvxpB5N-4IMP4p80kz0jbyjDYYtuoi0cSkMrrBsVP_6LcHKqc.jpg?r=134,https://m.media-amazon.com/images/M/MV5BMTY1NDk0NjI4MV5BMl5BanBnXkFtZTgwNjUyNzMwNjM@._V1_SX300.jpg,https://www.youtube.com/watch?v=J1JdWOqc9Q8,YouTube
6986,Murder on the Orient Express,"Crime, Drama, Mystery","Oscar-winning Movies,Thrillers,British Movies,Mysteries,Award-winning Movies,Classic Movies,Crime Thrillers,International Movies,Dramas,Crime Dramas,Films Based on Books,Classic Dramas,Classic Thrillers","English, French, German, Turkish, Italian, Swedish",Movie,3.8,3,Sidney Lumet,Paul Dehn,"Albert Finney, Lauren Bacall, Martin Balsam, Ingrid Bergman",PG,7.3,90,63,9,16,"27,634,716.00",11/24/1974,10/12/2018,EMI Films Ltd.,https://www.netflix.com/watch/60010682,https://www.imdb.com/title/tt0071877,"When a passenger is found dead aboard the Orient Express, investigator Hercule Poirot sifts through an eccentric group of suspects to find the killer.",56138,https://occ-0-1007-1360.1.nflxso.net/dnm/api/v6/XsrytRUxks8BtTRf9HNlZkW2tvY/AAAABXso184ILY5t0_kSv52FOFzWMaYz1F-oSXdlGUnz7vSTx4dzIbyUrsM81t1hIAeSmRKk4tqOE3tCNmLZcWSXtsSQ8HQQs-w.jpg?r=94b,https://m.media-amazon.com/images/M/MV5BNDlkZjJjYTktZDI4OS00MWFkLTg1MzMtNTY3MmI2OTBkMTU1XkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_SX300.jpg,https://www.youtube.com/watch?v=7M3KttB8pyk,YouTube
6991,T2: Trainspotting,Drama,"Dark Comedies,Independent Comedies,Comedies,Dramas,Independent Movies,Independent Dramas,British Films","English, Bulgarian, Scots",Movie,3.7,0,Danny Boyle,"John Hodge, Irvine Welsh","Logan Gillies, Aiden Haggarty, Ewan McGregor, Ben Skelton",R,7.2,81,67,6,7,"2,402,004.00",3/31/2017,10/11/2018,"Creative Scotland, DNA Films, Cloud Eight, Decibel Films",https://www.netflix.com/watch/80130991,https://www.imdb.com/title/tt2763304,"Renton, Spud, Sick Boy and Begbie cross paths 20 years later, and a small business opportunity crops up -- but no ones forgotten Rentons betrayal.",114447,https://occ-0-753-1360.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABbwun5Bw6E4ir6bTiXXJwMRKSSCuIz42zqSbJzyjq_G2SJN7hwNRh4Zsen019D9mF4w6oor_p7IgE0aMEa3FUIJfhg.jpg?r=b5c,https://m.media-amazon.com/images/M/MV5BMjI0MTE1ODkzMl5BMl5BanBnXkFtZTgwMTQ1MTg5MDI@._V1_SX300.jpg,https://www.youtube.com/watch?v=EsozpEE543w,YouTube
6993,22-Jul,"Crime, Drama, History, Thriller","Crime Movies,Thrillers,Social Issue Dramas,Crime Thrillers,Films Based on Real Life,Courtroom Dramas,Dramas,Films Based on Books,Crime Dramas","English, Norwegian",Movie,3.6,3,Paul Greengrass,"Åsne Seierstad, Paul Greengrass","Maria Bock, Jonas Strand Gravli, Jon Øigarden, Anders Danielsen Lie",R,6.8,80,69,2,3,,10/10/2018,10/10/2018,Scott Rudin Productions,https://www.netflix.com/watch/80210932,https://www.imdb.com/title/tt7280898,"After devastating terror attacks in Norway, a young survivor, grieving families and the country rally for justice and healing. Based on a true story.",28277,https://occ-0-2717-360.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABYiK3XokuD1BF-Htv9IH7C3T1wawVeccmPC3NMHZKyxOKxrKmk11XY_caSOYLKyCxoGPHbD7Cv1yEePxRp38ri-Gdpnd1vrfgyoR1K_DzohpoG550Cvgh3G-UpY.jpg?r=a87,https://m.media-amazon.com/images/M/MV5BNGY2MmQ0YTYtNjRjOS00ZjBhLThlMDMtN2FiY2ZjODhmNzU2XkEyXkFqcGdeQXVyOTA5NzQ0MDQ@._V1_SX300.jpg,https://www.youtube.com/watch?v=ZVpUZGmHJB8,YouTube
6994,211,"Action, Crime, Drama","Crime Action & Adventure,Crime Dramas,Dramas,Action & Adventure",English,Movie,2.7,0,York Alec Shackleton,"John Rebus, York Alec Shackleton","Michael Rainey Jr., Nicolas Cage, Sophie Skelton, Dwayne Cameron",R,4.4,4,21,,,,6/8/2018,10/10/2018,"Nu Image, Millennium Films",https://www.netflix.com/watch/81000504,https://www.imdb.com/title/tt4976192,"While on a routine patrol, an aging cop, his partner and their ride-along get caught in a standoff with a band of former mercenaries robbing a bank.",6910,https://occ-0-2773-2774.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABSteV-OBEbSJNBQ5Wx1eD3J3k5K4_PSmf5qY8Ggu0rQOV0wuftyXtsGKG82h7yMx8dFvhD9t2Y-guqvWXZdHybkr8w.jpg?r=141,https://m.media-amazon.com/images/M/MV5BMTkxNjA0MjMzNF5BMl5BanBnXkFtZTgwNTM2NzczNTM@._V1_SX300.jpg,https://www.youtube.com/watch?v=SCLjS-owEig,YouTube
6996,A Letter to Momo,"Animation, Adventure, Comedy, Drama, Family, Fantasy","Movies for ages 8 to 10,Anime,Fantasy Anime,Anime Features,International Movies,Children & Family Movies,Family Features,Family Sci-Fi & Fantasy,Sci-Fi & Fantasy,Drama Anime,Japanese Movies,Sci-Fi & Fantasy Anime",Japanese,Movie,5.2,3,Hiroyuki Okiura,"Hiroyuki Okiura, Joe Deasy, Stephanie Sheh","Yuka, Daizaburo Arakawa, Toshiyuki Nishida, Karen Miyama",Not Rated,7.3,81,65,3,7,"71,712.00",4/21/2012,10/10/2018,Bandai Visual Co. Ltd.,https://www.netflix.com/watch/70263185,https://www.imdb.com/title/tt1853614,A shy 11-year-olds life takes a strange turn when she discovers three hungry goblins living in the attic of her new house.,6805,https://occ-0-784-778.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABTQBV4V6B_fQLQCDApzVwRDwTERJ4weBji5-jxsxfpIpW_mFOdR3KAEDHXQpwVnJJlCCpheD5cDl65AwdyWPWN657g.jpg?r=2ee,https://images-na.ssl-images-amazon.com/images/M/MV5BMjE1MTM3NTE4OF5BMl5BanBnXkFtZTgwMTEyODAzMjE@._V1_SX300.jpg,https://www.youtube.com/watch?v=p93ArHyvzLw,YouTube
7001,Puerto Ricans in Paris,Comedy,Comedies,English,Movie,6.4,0,Ian Edelman,"Neel Shah, Ian Edelman","Miriam Shor, Rosario Dawson, Edgar Garcia, Luis Guzmán",R,5.3,33,47,,1,"102,890.00",6/10/2016,10/7/2018,PRIP Productions,https://www.netflix.com/watch/80062697,https://www.imdb.com/title/tt3730510,New York police detectives Luis and Eddie experience culture shock and adventure when they head to Paris to track down a stolen couture handbag.,1676,https://occ-0-2219-2218.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABVSP3NsPqYOKCAX_x6LhBDkmclc76ygCD8WTR5Bjpfs-wz58sg9sXoOvuwVUz5Qun-V9sv0aGEYaulMhPee5e9RwVg.jpg?r=4cd,https://m.media-amazon.com/images/M/MV5BMTk3ODA5NzA0N15BMl5BanBnXkFtZTgwMTc4OTY3ODE@._V1_SX300.jpg,https://www.youtube.com/watch?v=e32QpMQUuAc,YouTube
7005,Private Life,"Comedy, Drama","Dramas,Independent Movies,Independent Dramas,Comedies,Independent Comedies",English,Movie,4.1,3,Tamara Jenkins,Tamara Jenkins,"Paul Giamatti, Kathryn Hahn, Amy Russ, Gabrielle Reid",R,7.2,93,83,1,17,,10/5/2018,10/5/2018,Likely Story,https://www.netflix.com/watch/80168222,https://www.imdb.com/title/tt5536610,"Struggling to conceive, a couple in their 40s are almost out of options -- until a sliver of hope arrives in the form of their visiting step-niece.",16246,https://occ-0-2851-38.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABWyG_t-cTbiAt2BHnBIicdDiZmkApKo_RCxDeJvbOD06bJ5iL9584TowJ-dXwG4aLz51oPQBZISJrQ7V-UBTryiKNe17qce7IR7kPIsO3DdvOH6d4lWUJzii54g.jpg?r=72c,https://m.media-amazon.com/images/M/MV5BMjM3Mjc2NTk2NV5BMl5BanBnXkFtZTgwMzczMTIyNjM@._V1_SX300.jpg,https://www.youtube.com/watch?v=J1orjA9Z8g4,YouTube
7011,The Secret of My Success,"Comedy, Romance","Romantic Movies,Romantic Favorites,Comedies,Romantic Comedies",English,Movie,2.6,0,Herbert Ross,"AJ Carothers, Jim Cash, Jack Epps Jr.","Michael J. Fox, Richard Jordan, Margaret Whitton, Helen Slater",PG-13,6.5,57,36,1,,"66,995,879.00",4/10/1987,10/5/2018,"Rastar Pictures, Universal Pictures",https://www.netflix.com/watch/15821067,https://www.imdb.com/title/tt0093936,"A Kansas boy moves to New York City and lands a job in the mailroom of a big company, but masquerades as an executive boy wonder to impress a girl.",29895,https://occ-0-299-1001.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABYd2FDbAAEgNfpoYdMkCp0USI7VXjttVH9xghFGaiKPKIMSrwrEICo69-fXWvk27rWXDSK5R9sF8i0t1hVzCidZ37Q.jpg?r=5d7,https://m.media-amazon.com/images/M/MV5BZWVmY2I3OTQtZTdiNC00ODZkLTg3ZDgtNmE4ZmFhNjQwN2ZjXkEyXkFqcGdeQXVyNDk3NzU2MTQ@._V1_SX300.jpg,https://www.youtube.com/watch?v=6_umhEEi-dU,YouTube
7015,Demolition,"Action, Comedy, Drama","Dark Comedies,Dramas,Comedies,US Movies",English,Movie,2.9,0,Jean-Marc Vallée,Bryan Sipe,"Naomi Watts, Chris Cooper, Jake Gyllenhaal, Judah Lewis",R,7,53,49,1,2,"1,978,592.00",4/8/2016,10/3/2018,"Mr. Mudd, Sidney Kimmel Entertainment, Black Label Media",https://www.netflix.com/watch/80083754,https://www.imdb.com/title/tt1172049,An investment banker feels emotionally empty after losing his wife in a car crash and seeks solace in a new friendship and a love of demolition.,89559,https://occ-0-34-32.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABfShl-nz0y4U8-e02zkBfz7lSMS_ehiVXfQDaW0A5YDCS648-KJWCeWXleBE4hFjPlBOgr_XfEAmUYEGA4qPlzcUmw.jpg?r=734,https://m.media-amazon.com/images/M/MV5BMTg4Nzg1MTYxMl5BMl5BanBnXkFtZTgwMjUxNDMyODE@._V1_SX300.jpg,https://www.youtube.com/watch?v=8Js1oHlxuMw,YouTube
7017,The Black Prince,"Drama, History","Dramas,Biographical Dramas,International Movies,International Dramas,Period Pieces,Dramas based on Real Life,Movies Based on Real Life,Indian Movies,Punjabi-Language Movies","English, Punjabi",Movie,6.2,3,Kavi Raz,Kavi Raz,"Danny Midwinter, Ken Christiansen, Jason Flemyng, Amanda Root",PG-13,6.6,7,26,14,,,7/21/2017,10/3/2018,"Brillstein Entertainment Partners, Firdaus Production",https://www.netflix.com/watch/80191963,https://www.imdb.com/title/tt3962984,"After being exiled to England as a child, a Punjabi prince struggles to return to his homeland and his Sikh faith in this historical drama.",900,https://occ-0-2851-38.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABV7P3CYArBrfiDZ34kXb5J0_k2UqE2AWP-VlNDmqYo81dU6x1_yY5pQ823hhqBEVINzLj6V8-1L2lujxP31iYDZ8ZA.jpg?r=40f,https://images-na.ssl-images-amazon.com/images/M/MV5BNTNkZWJhNDYtZDhkZC00MGNmLWIzY2YtMDU0YmVhZjBhMDU4XkEyXkFqcGdeQXVyMjg1MjM0Njc@._V1_SX300.jpg,https://www.youtube.com/watch?v=p2wflHSDY7I,YouTube
7019,Operation Finale,"Biography, Drama, History, Thriller, War","Dramas,Thrillers,Spy Thrillers,Biographical Dramas,Dramas based on Real Life,Movies Based on Real Life,Social Issue Dramas","English, Spanish, French, German",Movie,3.1,3,Chris Weitz,Matthew Orton,"Mélanie Laurent, Lior Raz, Ben Kingsley, Oscar Isaac",PG-13,6.6,60,58,,1,"17,612,099.00",8/29/2018,10/3/2018,Automatik Entertainment,https://www.netflix.com/watch/80986885,https://www.imdb.com/title/tt5208252,"In 1960, Israeli spies undertake a daring mission to capture notorious Nazi war criminal Adolf Eichmann and bring him to justice. Based on real events.",32806,https://occ-0-2773-2774.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABaFRN8Ip3I6RE6KwRI1uAGm29tgeYaktGC4l4Hv5JWcnWq8o6WC49zHDSbE6DPQN9xGj5GnevudjeUpirMOT1PipP-iwvCxcimFPxO5zS6-2s40rcMSxzyocP1Y.jpg?r=99c,https://m.media-amazon.com/images/M/MV5BYzE1YjI2MjctZTY2Zi00NDBhLWIzYmMtNzMzMDgwZjE4MzUxXkEyXkFqcGdeQXVyNTI4MzE4MDU@._V1_SX300.jpg,https://www.youtube.com/watch?v=07Y4_6PD0Z4,YouTube
7024,Stronger,"Biography, Drama","Dramas based on Books,Dramas based on Real Life,Biographical Dramas,Dramas,Movies Based on Real Life,Movies Based on Books",English,Movie,3.9,0,David Gordon Green,"Jeff Bauman, John Pollono, Bret Witter","Jake Gyllenhaal, Tatiana Maslany, Miranda Richardson, Richard Lane Jr.",R,6.9,90,76,2,8,"4,211,129.00",9/29/2017,10/2/2018,"Bold Films, Lionsgate, Mandeville Films",https://www.netflix.com/watch/80184568,https://www.imdb.com/title/tt3881784,"Upon losing his legs in the 2013 Boston Marathon bombing, Jeff Bauman navigates the incidents overwhelming aftermath in this true story-based drama.",40838,https://occ-0-1490-1489.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABW7pagGlziknvEY40dtzgOMQx8vvRRWwawBhgNtZGeEFk7hS_N-DtNMh7UgV2q114yJUpCIqFmg9ow6jLfH7Cvv8fg.jpg?r=c0c,https://m.media-amazon.com/images/M/MV5BMjE0NjIwMjQ2MF5BMl5BanBnXkFtZTgwNTAxMzQ5MjI@._V1_SX300.jpg,https://www.youtube.com/watch?v=dhmW8oE6pAg,YouTube
7034,The Spy,"Action, Adventure, Comedy, Crime","Korean Comedies,Korean Movies,Baeksang Arts Awards Winners,Award-winning Movies,Comedies,Dark Comedies","English, German",Movie,2.9,0,Jay Roach,"Michael McCullers, Mike Myers","Robert Wagner, Michael York, Mike Myers, Heather Graham",PG-13,6.6,52,59,18,31,"206,040,086.00",6/11/1999,10/1/2018,"Team Todd, Moving Pictures, Eric&#39;s Boy",https://www.netflix.com/watch/80231337,https://www.imdb.com/title/tt0145660,"To solve the famine crisis in his country, a North Korean spy gets sent on a weeklong mission to the south to steal the DNA of a superpig.",217014,https://occ-0-1007-1360.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABXl0U4HpIdl-rj5wqAsQ03GVrzRhk8LwoRNbDkc3g2l3iZGymbnE-EmAb3PlXNksaAgMTbRMVuBl6luKC0RO5hBJmA.jpg?r=55a,https://m.media-amazon.com/images/M/MV5BMmFkZGQxN2YtODNlYS00MzM5LTk3NjQtNTUxYmQ1YzkwMDhmXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,https://www.youtube.com/watch?v=mYVb4OLk4NQ,YouTube
7035,Tazza: The High Rollers,"Comedy, Crime","Korean Thrillers,Korean Movies,Blue Dragon Film Award-winning Movies,Thrillers,Baeksang Arts Awards Winners,Crime Thrillers,Award-winning Movies",Korean,Movie,7.9,3,Dong-hoon Choi,"Dong-hoon Choi, Myeong-chan Park, Yeong-man Heo","Yun-shik Baek, Kim Hye-su, Cho Seung-woo, Hae-Jin Yoo",,7.2,85,77,18,17,,9/28/2006,10/1/2018,,https://www.netflix.com/watch/70262790,https://www.imdb.com/title/tt0875025,A guy with a talent for cards makes his way into the dangerous world of underground gambling in this crime thriller from South Korea. Go-ni (Jo Seung-woo) is a small-town guy with a big appetite for gambling.,2042,https://occ-0-1007-1360.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABcEjcaOa5cLV7_6-Z2J3LWeTk4iyPoQovt2Lf2OC8GnThDD2VzhF4ML6eWKXu8KsicSWkXOi0XLG7FDdDv-LNZVUqg.jpg?r=60c,https://images-na.ssl-images-amazon.com/images/M/MV5BMTU1MjQ0ODMzMF5BMl5BanBnXkFtZTgwNjI5ODc1MjE@._V1_SX300.jpg,https://www.youtube.com/watch?v=K0u6LwKYBhI,YouTube
7036,Save the Green Planet!,"Comedy, Sci-Fi, Thriller","Korean Comedies,Korean Thrillers,Blue Dragon Film Award-winning Movies,Korean Movies,Thrillers,Sci-Fi Thrillers,Sci-Fi & Fantasy,Alien Sci-Fi,Dark Comedies,Comedies,Award-winning Movies",Korean,Movie,5.1,0,Joon-Hwan Jang,Joon-Hwan Jang,"Yun-shik Baek, Shin Ha-kyun, Jung-min Hwang, Jae-yong Lee",Not Rated,7.3,90,70,20,2,"15,516.00",4/4/2003,10/1/2018,,https://www.netflix.com/watch/70032567,https://www.imdb.com/title/tt0354668,"Believing that aliens in human form are systematically destroying the planet and all humankind, Byung-gu sets out to capture an alien leader and force him to confess.",7655,https://occ-0-1007-1360.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABROCIwjjPVVnObAeLVV9wu1QolLaarWuvQ5yE9QpYVwhTKFIZg9sJtRdmx_BAWaMfj9OLrjH22VMWkKuElNgArEIBA.jpg?r=5cc,https://images-na.ssl-images-amazon.com/images/M/MV5BMTIyOTE3NDE0NV5BMl5BanBnXkFtZTcwMTM1NDAzMQ@@._V1_SX300.jpg,https://www.youtube.com/watch?v=3NLbDgyMusk,YouTube
